	Metabolic task id	Alternative networks	Metabolic task desciption	high_expressed rxns(%)	low_expressed rxns(%) 	GPR rxns	total # of rxns	p_values	fdr_bh	high_expressed rxns	low_expressed rxns	rxns in a min with GPR	rxns in a min
28	C00006_c	alternative_2	NADP+	28.000000000000004	4.0	25	66	0.002005375196948839	0.003919596975854549	R01561_c,R01863_c,R02295_c,R02557_c,R02147_c,R01969_c,R02294_c	R00104_c	R01561_c,R01863_c,R02295_c,R02557_c,R02147_c,R01132_c,R01969_c,R01049_c,R00004_c,R03005_c,R01724_c,R00330_c,R01135_c,R04936_c,R00257_c,R00190_c,R00256_c,R01083_c,R02294_c,R00192_c,R00578_c,R00127_c,R00650_c,R01057_c,R00104_c	EXCbothC03150_e,Tc2eC00122_c,R01561_c,R01863_c,R02295_c,R02557_c,R02147_c,Tc2eC00387_c,R01132_c,EXCbothC00153_e,Tc2eC00294_c,Tc2eC00021_c,Tc2eC05698_c,EXCbothC00155_e,R01969_c,Tc2eC00147_c,MT_biomass_C00006_c,R01049_c,EXCbothC00009_e,R03005_c,R00004_c,Tc2eC00155_c,Tc2eC00262_c,EXCbothC00019_e,EXCbothC00330_e,Tc2eC00330_c,EXCbothC00021_e,Tc2eC00009_c,R01724_c,Tc2eC05841_c,R00330_c,EXCbothC00387_e,R01135_c,R04936_c,R00190_c,R00257_c,Tc2eC00212_c,Tc2eC00019_c,EXCbothC00559_e,Tc2eC00025_c,EXCbothC05692_e,R00256_c,R01083_c,EXCbothC05698_e,Tc2eC03150_c,Tc2eC00152_c,R02294_c,EXCbothC00262_e,Tc2eC00013_c,EXCbothC00025_e,R00192_c,R00578_c,Tc2eC05692_c,EXCbothC00294_e,EXCbothC00013_e,R00127_c,R00650_c,EXCbothC00152_e,R01057_c,R00104_c,Tc2eC00153_c,EXCbothC00122_e,EXCbothC00147_e,EXCbothC00212_e,Tc2eC00559_c,EXCbothC05841_e
173	C00350_r	alternative_3	Phosphatidylethanolamine	16.666666666666664	2.7777777777777777	36	77	0.002267274268921643	0.0043330130472724725	R02055_r,R02295_c,R01068_c,R01641_c,R01829_c,R01067_c	R00112_c	R02295_c,R01395_c,R01799_r,R02241_r,R00842_c,R01819_c,R00004_c,R01015_c,R00157_c,R10221_c,R00299_c,R10948_c,R10907_c,R00575_c,R01529_c,R01843_c,R00847_r,R00847_c,R01641_c,R00112_c,R01056_c,R00256_c,R01829_c,R00851_r,R00867_c,R00769_c,R10949_c,R00578_c,R02055_r,R01326_c,R01068_c,R00127_c,R01057_c,R02035_c,R01067_c,R01496_r	R02295_c,R01395_c,R00842_c,R01819_c,R00512_r,Tc2rC00319_c,R10907_c,R01843_c,Tc2rC00116_c,EXCbothC00011_e,Tc2eC00152_c,Tc2rC00195_c,R00769_c,R01326_c,R01800_r,R01067_c,Tc2rC00065_c,Tc2eC00065_c,R01799_r,R02241_r,R00570_r,R01015_c,Tc2eC00253_c,R00299_c,Tc2rC00093_c,Tc2eC05841_c,R00575_c,EXCbothC00031_e,R00847_c,Tc2eC00195_c,Tc2eC00013_c,R00127_c,R01496_r,EXCbothC00319_e,EXCbothC00253_e,R00004_c,R10948_c,EXCbothC00159_e,R01641_c,R00112_c,MT_biomass_C00350_r,R01829_c,R00851_r,Tc2eC00319_c,R00578_c,R01068_c,Tc2eC00159_c,EXCbothC00013_e,EXCbothC00195_e,Tc2eC00031_c,EXCbothC03684_e,R08208_c,Tc2eC00095_c,Tc2eC03684_c,EXCbothC00065_e,EXCbothC00272_e,R00157_c,R10221_c,Tc2eC00011_c,R01529_c,R00847_r,Tc2eC00025_c,R01056_c,R00256_c,EXCbothC00025_e,R00867_c,R10949_c,R02055_r,EXCbothC00095_e,Tc2rC00013_c,Tc2eC00272_c,EXCbothC00152_e,R01057_c,R02035_c,Tc2rC00080_c,Tc2rC00011_c,EXCbothC05841_e
172	C00350_r	alternative_2	Phosphatidylethanolamine	16.666666666666664	2.7777777777777777	36	77	0.002267274268921643	0.0043330130472724725	R02055_r,R02295_c,R01068_c,R01641_c,R01829_c,R01067_c	R00112_c	R02295_c,R01395_c,R01799_r,R02241_r,R00842_c,R01819_c,R00004_c,R01015_c,R00157_c,R10221_c,R00299_c,R10948_c,R10907_c,R00575_c,R01529_c,R01843_c,R00847_r,R00847_c,R01641_c,R00112_c,R01056_c,R00256_c,R01829_c,R00851_r,R00867_c,R00769_c,R10949_c,R00578_c,R02055_r,R01326_c,R01068_c,R00127_c,R01057_c,R02035_c,R01067_c,R01496_r	R02295_c,R01395_c,R00842_c,R01819_c,R00512_r,Tc2rC00319_c,R10907_c,R01843_c,Tc2rC00116_c,EXCbothC00011_e,Tc2eC00152_c,Tc2rC00195_c,R00769_c,R01326_c,R01800_r,R01067_c,Tc2rC00065_c,Tc2eC00065_c,R01799_r,R02241_r,R00570_r,R01015_c,Tc2eC00253_c,R00299_c,Tc2rC00093_c,Tc2eC05841_c,R00575_c,EXCbothC00031_e,R00847_c,Tc2eC00195_c,Tc2eC00013_c,R00127_c,R01496_r,EXCbothC00319_e,EXCbothC00253_e,R00004_c,R10948_c,EXCbothC00159_e,R01641_c,R00112_c,MT_biomass_C00350_r,R01829_c,R00851_r,Tc2eC00319_c,R00578_c,R01068_c,Tc2eC00159_c,EXCbothC00013_e,EXCbothC00195_e,Tc2eC00031_c,EXCbothC03684_e,R08208_c,Tc2eC00095_c,Tc2eC03684_c,EXCbothC00065_e,EXCbothC00272_e,R00157_c,R10221_c,Tc2eC00011_c,R01529_c,R00847_r,Tc2eC00025_c,R01056_c,R00256_c,EXCbothC00025_e,R00867_c,R10949_c,R02055_r,EXCbothC00095_e,Tc2rC00013_c,Tc2eC00272_c,EXCbothC00152_e,R01057_c,R02035_c,Tc2rC00080_c,Tc2rC00011_c,EXCbothC05841_e
171	C00350_r	alternative_1	Phosphatidylethanolamine	16.666666666666664	2.7777777777777777	36	77	0.002267274268921643	0.0043330130472724725	R02055_r,R02295_c,R01068_c,R01641_c,R01829_c,R01067_c	R00112_c	R02295_c,R01395_c,R01799_r,R02241_r,R00842_c,R01819_c,R00004_c,R01015_c,R00157_c,R10221_c,R00299_c,R10948_c,R10907_c,R00575_c,R01529_c,R01843_c,R00847_r,R00847_c,R01641_c,R00112_c,R01056_c,R00256_c,R01829_c,R00851_r,R00867_c,R00769_c,R10949_c,R00578_c,R02055_r,R01326_c,R01068_c,R00127_c,R01057_c,R02035_c,R01067_c,R01496_r	R02295_c,R01395_c,R00842_c,R01819_c,R00512_r,Tc2rC00319_c,R10907_c,R01843_c,Tc2rC00116_c,EXCbothC00011_e,Tc2eC00152_c,Tc2rC00195_c,R00769_c,R01326_c,R01800_r,R01067_c,Tc2rC00065_c,Tc2eC00065_c,R01799_r,R02241_r,R00570_r,R01015_c,Tc2eC00253_c,R00299_c,Tc2rC00093_c,Tc2eC05841_c,R00575_c,EXCbothC00031_e,R00847_c,Tc2eC00195_c,Tc2eC00013_c,R00127_c,R01496_r,EXCbothC00319_e,EXCbothC00253_e,R00004_c,R10948_c,EXCbothC00159_e,R01641_c,R00112_c,MT_biomass_C00350_r,R01829_c,R00851_r,Tc2eC00319_c,R00578_c,R01068_c,Tc2eC00159_c,EXCbothC00013_e,EXCbothC00195_e,Tc2eC00031_c,EXCbothC03684_e,R08208_c,Tc2eC00095_c,Tc2eC03684_c,EXCbothC00065_e,EXCbothC00272_e,R00157_c,R10221_c,Tc2eC00011_c,R01529_c,R00847_r,Tc2eC00025_c,R01056_c,R00256_c,EXCbothC00025_e,R00867_c,R10949_c,R02055_r,EXCbothC00095_e,Tc2rC00013_c,Tc2eC00272_c,EXCbothC00152_e,R01057_c,R02035_c,Tc2rC00080_c,Tc2rC00011_c,EXCbothC05841_e
224	C05980_c	alternative_3	Cardiolipin	13.513513513513514	2.7027027027027026	37	70	0.002713748759163176	0.005073530288870286	R01068_c,R01641_c,R02294_c,R01829_c,R01067_c	R00112_c	R04230_c,R01395_c,R02241_r,R00842_c,R01819_c,R00004_c,R00756_c,R01015_c,R10221_c,R00299_c,R10948_c,R10907_c,R00575_c,R01529_c,R01843_c,R01799_c,R00847_c,R01641_c,R00112_c,R01056_c,R00256_c,R02294_c,R01829_c,R00851_r,R00867_c,R10949_c,R00578_c,R07390_c,R01326_c,R01068_c,R02030_c,R04231_c,R00127_c,R01057_c,R02035_c,R01067_c,R01496_r	EXCbothC00319_e,EXCbothC03684_e,EXCbothC03150_e,R04230_c,R08208_c,R01395_c,EXCbothC00153_e,Tc2eC00095_c,Tc2eC03684_c,R02241_r,R00842_c,R01819_c,R00756_c,R00004_c,EXCbothC00272_e,R01015_c,MT_biomass_C05980_c,R10221_c,R00299_c,Tc2rC00319_c,Tc2eC00011_c,R10948_c,R10907_c,Tc2rC00093_c,R00575_c,R01529_c,Tc2rC00416_c,EXCbothC00159_e,R01843_c,EXCbothC00011_e,EXCbothC00031_e,R01799_c,Tc2eC00025_c,R01641_c,R00112_c,R00847_c,R01056_c,Tc2eC00031_c,R00256_c,Tc2eC03150_c,Tc2eC00152_c,R02294_c,R01829_c,Tc2eC00195_c,Tc2eC00013_c,EXCbothC00025_e,R00851_r,Tc2eC00319_c,R00867_c,Tc2rC00195_c,R10949_c,R00578_c,R07390_c,R01326_c,R01068_c,R02030_c,R04231_c,Tc2eC00272_c,EXCbothC00095_e,Tc2eC00159_c,EXCbothC00013_e,R00127_c,EXCbothC00152_e,EXCbothC00195_e,R01057_c,R02035_c,Tc2eC00153_c,Tc2rC00080_c,R01067_c,R01496_r
223	C05980_c	alternative_2	Cardiolipin	13.513513513513514	2.7027027027027026	37	70	0.002713748759163176	0.005073530288870286	R01068_c,R01641_c,R02294_c,R01829_c,R01067_c	R00112_c	R04230_c,R01395_c,R02241_r,R00842_c,R01819_c,R00004_c,R00756_c,R01015_c,R10221_c,R00299_c,R10948_c,R10907_c,R00575_c,R01529_c,R01843_c,R01799_c,R00847_c,R01641_c,R00112_c,R01056_c,R00256_c,R02294_c,R01829_c,R00851_r,R00867_c,R10949_c,R00578_c,R07390_c,R01326_c,R01068_c,R02030_c,R04231_c,R00127_c,R01057_c,R02035_c,R01067_c,R01496_r	EXCbothC00319_e,EXCbothC03684_e,EXCbothC03150_e,R04230_c,R08208_c,R01395_c,EXCbothC00153_e,Tc2eC00095_c,Tc2eC03684_c,R02241_r,R00842_c,R01819_c,R00756_c,R00004_c,EXCbothC00272_e,R01015_c,MT_biomass_C05980_c,R10221_c,R00299_c,Tc2rC00319_c,Tc2eC00011_c,R10948_c,R10907_c,Tc2rC00093_c,R00575_c,R01529_c,Tc2rC00416_c,EXCbothC00159_e,R01843_c,EXCbothC00011_e,EXCbothC00031_e,R01799_c,Tc2eC00025_c,R01641_c,R00112_c,R00847_c,R01056_c,Tc2eC00031_c,R00256_c,Tc2eC03150_c,Tc2eC00152_c,R02294_c,R01829_c,Tc2eC00195_c,Tc2eC00013_c,EXCbothC00025_e,R00851_r,Tc2eC00319_c,R00867_c,Tc2rC00195_c,R10949_c,R00578_c,R07390_c,R01326_c,R01068_c,R02030_c,R04231_c,Tc2eC00272_c,EXCbothC00095_e,Tc2eC00159_c,EXCbothC00013_e,R00127_c,EXCbothC00152_e,EXCbothC00195_e,R01057_c,R02035_c,Tc2eC00153_c,Tc2rC00080_c,R01067_c,R01496_r
222	C05980_c	alternative_1	Cardiolipin	13.513513513513514	2.7027027027027026	37	70	0.002713748759163176	0.005073530288870286	R01068_c,R01641_c,R02294_c,R01829_c,R01067_c	R00112_c	R04230_c,R01395_c,R02241_r,R00842_c,R01819_c,R00004_c,R00756_c,R01015_c,R10221_c,R00299_c,R10948_c,R10907_c,R00575_c,R01529_c,R01843_c,R01799_c,R00847_c,R01641_c,R00112_c,R01056_c,R00256_c,R02294_c,R01829_c,R00851_r,R00867_c,R10949_c,R00578_c,R07390_c,R01326_c,R01068_c,R02030_c,R04231_c,R00127_c,R01057_c,R02035_c,R01067_c,R01496_r	EXCbothC00319_e,EXCbothC03684_e,EXCbothC03150_e,R04230_c,R08208_c,R01395_c,EXCbothC00153_e,Tc2eC00095_c,Tc2eC03684_c,R02241_r,R00842_c,R01819_c,R00756_c,R00004_c,EXCbothC00272_e,R01015_c,MT_biomass_C05980_c,R10221_c,R00299_c,Tc2rC00319_c,Tc2eC00011_c,R10948_c,R10907_c,Tc2rC00093_c,R00575_c,R01529_c,Tc2rC00416_c,EXCbothC00159_e,R01843_c,EXCbothC00011_e,EXCbothC00031_e,R01799_c,Tc2eC00025_c,R01641_c,R00112_c,R00847_c,R01056_c,Tc2eC00031_c,R00256_c,Tc2eC03150_c,Tc2eC00152_c,R02294_c,R01829_c,Tc2eC00195_c,Tc2eC00013_c,EXCbothC00025_e,R00851_r,Tc2eC00319_c,R00867_c,Tc2rC00195_c,R10949_c,R00578_c,R07390_c,R01326_c,R01068_c,R02030_c,R04231_c,Tc2eC00272_c,EXCbothC00095_e,Tc2eC00159_c,EXCbothC00013_e,R00127_c,EXCbothC00152_e,EXCbothC00195_e,R01057_c,R02035_c,Tc2eC00153_c,Tc2rC00080_c,R01067_c,R01496_r
143	C00157_r	alternative_3	Phosphatidylcholine	13.88888888888889	2.7777777777777777	36	76	0.0030642730836313516	0.005606967770048856	R02295_c,R01068_c,R01641_c,R01829_c,R01067_c	R00112_c	R02295_c,R01395_c,R01799_r,R02241_r,R00842_c,R01819_c,R00004_c,R01015_c,R00157_c,R10221_c,R00299_c,R10948_c,R10907_c,R00575_c,R01529_c,R01843_c,R00847_r,R00847_c,R01641_c,R00112_c,R01056_c,R00256_c,R01829_c,R00851_r,R00867_c,R00769_c,R10949_c,R00578_c,R01326_c,R01068_c,R00127_c,R01057_c,R02035_c,R01067_c,R07377_r,R01496_r	EXCbothC00319_e,EXCbothC03684_e,R02295_c,R08208_c,R01395_c,Tc2eC00095_c,R01799_r,R02241_r,R00842_c,Tc2eC03684_c,EXCbothC00253_e,R01819_c,Tc2rC00114_c,R00004_c,R00570_r,EXCbothC00272_e,R01015_c,Tc2eC00253_c,R00157_c,R10221_c,R00512_r,R00299_c,Tc2rC00319_c,Tc2eC00011_c,R10948_c,R10907_c,Tc2eC05841_c,R00575_c,Tc2rC00093_c,R01529_c,EXCbothC00159_e,R01843_c,Tc2rC00116_c,EXCbothC00114_e,R00847_r,EXCbothC00011_e,EXCbothC00031_e,Tc2eC00025_c,R01641_c,R00112_c,R00847_c,R01056_c,Tc2eC00031_c,R00256_c,Tc2eC00152_c,Tc2eC00195_c,R01829_c,Tc2eC00013_c,EXCbothC00025_e,R00851_r,Tc2eC00319_c,R00867_c,Tc2rC00195_c,R00769_c,R10949_c,R00578_c,R01326_c,R01068_c,EXCbothC00095_e,Tc2rC00013_c,Tc2eC00272_c,Tc2eC00159_c,EXCbothC00013_e,R00127_c,EXCbothC00152_e,R01800_r,EXCbothC00195_e,R01057_c,R02035_c,Tc2rC00080_c,MT_biomass_C00157_r,R01067_c,Tc2eC00114_c,EXCbothC05841_e,R07377_r,R01496_r
141	C00157_r	alternative_1	Phosphatidylcholine	13.88888888888889	2.7777777777777777	36	76	0.0030642730836313516	0.005606967770048856	R02295_c,R01068_c,R01641_c,R01829_c,R01067_c	R00112_c	R02295_c,R01395_c,R01799_r,R02241_r,R00842_c,R01819_c,R00004_c,R01015_c,R00157_c,R10221_c,R00299_c,R10948_c,R10907_c,R00575_c,R01529_c,R01843_c,R00847_r,R00847_c,R01641_c,R00112_c,R01056_c,R00256_c,R01829_c,R00851_r,R00867_c,R00769_c,R10949_c,R00578_c,R01326_c,R01068_c,R00127_c,R01057_c,R02035_c,R01067_c,R07377_r,R01496_r	EXCbothC00319_e,EXCbothC03684_e,R02295_c,R08208_c,R01395_c,Tc2eC00095_c,R01799_r,R02241_r,R00842_c,Tc2eC03684_c,EXCbothC00253_e,R01819_c,Tc2rC00114_c,R00004_c,R00570_r,EXCbothC00272_e,R01015_c,Tc2eC00253_c,R00157_c,R10221_c,R00512_r,R00299_c,Tc2rC00319_c,Tc2eC00011_c,R10948_c,R10907_c,Tc2eC05841_c,R00575_c,Tc2rC00093_c,R01529_c,EXCbothC00159_e,R01843_c,Tc2rC00116_c,EXCbothC00114_e,R00847_r,EXCbothC00011_e,EXCbothC00031_e,Tc2eC00025_c,R01641_c,R00112_c,R00847_c,R01056_c,Tc2eC00031_c,R00256_c,Tc2eC00152_c,Tc2eC00195_c,R01829_c,Tc2eC00013_c,EXCbothC00025_e,R00851_r,Tc2eC00319_c,R00867_c,Tc2rC00195_c,R00769_c,R10949_c,R00578_c,R01326_c,R01068_c,EXCbothC00095_e,Tc2rC00013_c,Tc2eC00272_c,Tc2eC00159_c,EXCbothC00013_e,R00127_c,EXCbothC00152_e,R01800_r,EXCbothC00195_e,R01057_c,R02035_c,Tc2rC00080_c,MT_biomass_C00157_r,R01067_c,Tc2eC00114_c,EXCbothC05841_e,R07377_r,R01496_r
142	C00157_r	alternative_2	Phosphatidylcholine	13.88888888888889	2.7777777777777777	36	76	0.0030642730836313516	0.005606967770048856	R02295_c,R01068_c,R01641_c,R01829_c,R01067_c	R00112_c	R02295_c,R01395_c,R01799_r,R02241_r,R00842_c,R01819_c,R00004_c,R01015_c,R00157_c,R10221_c,R00299_c,R10948_c,R10907_c,R00575_c,R01529_c,R01843_c,R00847_r,R00847_c,R01641_c,R00112_c,R01056_c,R00256_c,R01829_c,R00851_r,R00867_c,R00769_c,R10949_c,R00578_c,R01326_c,R01068_c,R00127_c,R01057_c,R02035_c,R01067_c,R07377_r,R01496_r	EXCbothC00319_e,EXCbothC03684_e,R02295_c,R08208_c,R01395_c,Tc2eC00095_c,R01799_r,R02241_r,R00842_c,Tc2eC03684_c,EXCbothC00253_e,R01819_c,Tc2rC00114_c,R00004_c,R00570_r,EXCbothC00272_e,R01015_c,Tc2eC00253_c,R00157_c,R10221_c,R00512_r,R00299_c,Tc2rC00319_c,Tc2eC00011_c,R10948_c,R10907_c,Tc2eC05841_c,R00575_c,Tc2rC00093_c,R01529_c,EXCbothC00159_e,R01843_c,Tc2rC00116_c,EXCbothC00114_e,R00847_r,EXCbothC00011_e,EXCbothC00031_e,Tc2eC00025_c,R01641_c,R00112_c,R00847_c,R01056_c,Tc2eC00031_c,R00256_c,Tc2eC00152_c,Tc2eC00195_c,R01829_c,Tc2eC00013_c,EXCbothC00025_e,R00851_r,Tc2eC00319_c,R00867_c,Tc2rC00195_c,R00769_c,R10949_c,R00578_c,R01326_c,R01068_c,EXCbothC00095_e,Tc2rC00013_c,Tc2eC00272_c,Tc2eC00159_c,EXCbothC00013_e,R00127_c,EXCbothC00152_e,R01800_r,EXCbothC00195_e,R01057_c,R02035_c,Tc2rC00080_c,MT_biomass_C00157_r,R01067_c,Tc2eC00114_c,EXCbothC05841_e,R07377_r,R01496_r
215	C02737_r	alternative_3	Phosphatidylserine	14.705882352941178	2.941176470588235	34	74	0.0038657213971967767	0.006926084169977558	R01068_c,R01641_c,R02294_c,R01829_c,R01067_c	R00112_c	R01395_c,R01799_r,R02241_r,R00842_c,R01819_c,R00004_c,R00756_c,R01015_c,R10221_c,R00299_c,R10948_c,R10907_c,R00575_c,R01529_c,R01843_c,R00847_r,R00847_c,R01641_c,R00112_c,R01056_c,R00256_c,R02294_c,R01829_c,R00851_r,R00867_c,R10949_c,R00578_c,R01326_c,R01068_c,R00127_c,R01057_c,R02035_c,R01067_c,R01496_r	EXCbothC00319_e,EXCbothC03684_e,EXCbothC03150_e,Tc2eC00065_c,R08208_c,R01395_c,EXCbothC00153_e,Tc2eC00095_c,R01799_r,R02241_r,R00842_c,Tc2eC03684_c,R01819_c,EXCbothC00065_e,R00756_c,R00570_r,R00004_c,EXCbothC00272_e,R01015_c,R10221_c,R00512_r,R00299_c,Tc2rC00319_c,Tc2eC00011_c,R10948_c,R10907_c,Tc2rC00093_c,R00575_c,R01529_c,EXCbothC00159_e,R01843_c,Tc2rC00116_c,R00847_r,EXCbothC00011_e,EXCbothC00031_e,Tc2eC00025_c,R01641_c,R00112_c,R00847_c,R01056_c,Tc2eC00031_c,R00256_c,Tc2eC03150_c,Tc2eC00152_c,R02294_c,R01829_c,Tc2eC00195_c,Tc2eC00013_c,EXCbothC00025_e,R00851_r,Tc2eC00319_c,R00867_c,Tc2rC00195_c,R10949_c,MT_biomass_C02737_r,R00578_c,R01326_c,R01068_c,EXCbothC00095_e,Tc2rC00013_c,Tc2eC00272_c,Tc2eC00159_c,EXCbothC00013_e,R00127_c,EXCbothC00152_e,R01800_r,EXCbothC00195_e,R01057_c,R02035_c,Tc2eC00153_c,Tc2rC00080_c,R01067_c,Tc2rC00065_c,R01496_r
214	C02737_r	alternative_2	Phosphatidylserine	14.705882352941178	2.941176470588235	34	74	0.0038657213971967767	0.006926084169977558	R01068_c,R01641_c,R02294_c,R01829_c,R01067_c	R00112_c	R01395_c,R01799_r,R02241_r,R00842_c,R01819_c,R00004_c,R00756_c,R01015_c,R10221_c,R00299_c,R10948_c,R10907_c,R00575_c,R01529_c,R01843_c,R00847_r,R00847_c,R01641_c,R00112_c,R01056_c,R00256_c,R02294_c,R01829_c,R00851_r,R00867_c,R10949_c,R00578_c,R01326_c,R01068_c,R00127_c,R01057_c,R02035_c,R01067_c,R01496_r	EXCbothC00319_e,EXCbothC03684_e,EXCbothC03150_e,Tc2eC00065_c,R08208_c,R01395_c,EXCbothC00153_e,Tc2eC00095_c,R01799_r,R02241_r,R00842_c,Tc2eC03684_c,R01819_c,EXCbothC00065_e,R00756_c,R00570_r,R00004_c,EXCbothC00272_e,R01015_c,R10221_c,R00512_r,R00299_c,Tc2rC00319_c,Tc2eC00011_c,R10948_c,R10907_c,Tc2rC00093_c,R00575_c,R01529_c,EXCbothC00159_e,R01843_c,Tc2rC00116_c,R00847_r,EXCbothC00011_e,EXCbothC00031_e,Tc2eC00025_c,R01641_c,R00112_c,R00847_c,R01056_c,Tc2eC00031_c,R00256_c,Tc2eC03150_c,Tc2eC00152_c,R02294_c,R01829_c,Tc2eC00195_c,Tc2eC00013_c,EXCbothC00025_e,R00851_r,Tc2eC00319_c,R00867_c,Tc2rC00195_c,R10949_c,MT_biomass_C02737_r,R00578_c,R01326_c,R01068_c,EXCbothC00095_e,Tc2rC00013_c,Tc2eC00272_c,Tc2eC00159_c,EXCbothC00013_e,R00127_c,EXCbothC00152_e,R01800_r,EXCbothC00195_e,R01057_c,R02035_c,Tc2eC00153_c,Tc2rC00080_c,R01067_c,Tc2rC00065_c,R01496_r
213	C02737_r	alternative_1	Phosphatidylserine	14.705882352941178	2.941176470588235	34	74	0.0038657213971967767	0.006926084169977558	R01068_c,R01641_c,R02294_c,R01829_c,R01067_c	R00112_c	R01395_c,R01799_r,R02241_r,R00842_c,R01819_c,R00004_c,R00756_c,R01015_c,R10221_c,R00299_c,R10948_c,R10907_c,R00575_c,R01529_c,R01843_c,R00847_r,R00847_c,R01641_c,R00112_c,R01056_c,R00256_c,R02294_c,R01829_c,R00851_r,R00867_c,R10949_c,R00578_c,R01326_c,R01068_c,R00127_c,R01057_c,R02035_c,R01067_c,R01496_r	EXCbothC00319_e,EXCbothC03684_e,EXCbothC03150_e,Tc2eC00065_c,R08208_c,R01395_c,EXCbothC00153_e,Tc2eC00095_c,R01799_r,R02241_r,R00842_c,Tc2eC03684_c,R01819_c,EXCbothC00065_e,R00756_c,R00570_r,R00004_c,EXCbothC00272_e,R01015_c,R10221_c,R00512_r,R00299_c,Tc2rC00319_c,Tc2eC00011_c,R10948_c,R10907_c,Tc2rC00093_c,R00575_c,R01529_c,EXCbothC00159_e,R01843_c,Tc2rC00116_c,R00847_r,EXCbothC00011_e,EXCbothC00031_e,Tc2eC00025_c,R01641_c,R00112_c,R00847_c,R01056_c,Tc2eC00031_c,R00256_c,Tc2eC03150_c,Tc2eC00152_c,R02294_c,R01829_c,Tc2eC00195_c,Tc2eC00013_c,EXCbothC00025_e,R00851_r,Tc2eC00319_c,R00867_c,Tc2rC00195_c,R10949_c,MT_biomass_C02737_r,R00578_c,R01326_c,R01068_c,EXCbothC00095_e,Tc2rC00013_c,Tc2eC00272_c,Tc2eC00159_c,EXCbothC00013_e,R00127_c,EXCbothC00152_e,R01800_r,EXCbothC00195_e,R01057_c,R02035_c,Tc2eC00153_c,Tc2rC00080_c,R01067_c,Tc2rC00065_c,R01496_r
