	Metabolic task id	Alternative networks	Metabolic task desciption	high_expressed rxns(%)	low_expressed rxns(%) 	GPR rxns	total # of rxns	p_values	fdr_bh	high_expressed rxns	low_expressed rxns	rxns in a min with GPR	rxns in a min
17	C00002_c	alternative_3	ATP	30.0	0.0	20	59	0.0	0.0	R01561_c,R01863_c,R02557_c,R02147_c,R01969_c,R02294_c		R01561_c,R01863_c,R02557_c,R02147_c,R01132_c,R01969_c,R01049_c,R00004_c,R00330_c,R01135_c,R04936_c,R00190_c,R00256_c,R01083_c,R02294_c,R00192_c,R00578_c,R00127_c,R00650_c,R01057_c	EXCbothC03150_e,Tc2eC00122_c,R01561_c,R01863_c,R02557_c,R02147_c,Tc2eC00387_c,R01132_c,EXCbothC00153_e,Tc2eC00294_c,Tc2eC00021_c,Tc2eC05698_c,EXCbothC00155_e,R01969_c,Tc2eC00147_c,R01049_c,EXCbothC00009_e,R00004_c,Tc2eC00155_c,Tc2eC00262_c,EXCbothC00019_e,EXCbothC00330_e,Tc2eC00330_c,EXCbothC00021_e,Tc2eC00009_c,MT_biomass_C00002_c,R00330_c,EXCbothC00387_e,R01135_c,R04936_c,R00190_c,Tc2eC00212_c,Tc2eC00019_c,EXCbothC00559_e,Tc2eC00025_c,EXCbothC05692_e,R00256_c,R01083_c,EXCbothC05698_e,Tc2eC03150_c,Tc2eC00152_c,R02294_c,EXCbothC00262_e,Tc2eC00013_c,EXCbothC00025_e,R00192_c,R00578_c,Tc2eC05692_c,EXCbothC00294_e,EXCbothC00013_e,R00127_c,R00650_c,EXCbothC00152_e,R01057_c,EXCbothC00122_e,Tc2eC00153_c,EXCbothC00147_e,EXCbothC00212_e,Tc2eC00559_c
16	C00002_c	alternative_2	ATP	30.0	0.0	20	59	0.0	0.0	R01561_c,R01863_c,R02557_c,R02147_c,R01969_c,R02294_c		R01561_c,R01863_c,R02557_c,R02147_c,R01132_c,R01969_c,R01049_c,R00004_c,R00330_c,R01135_c,R04936_c,R00190_c,R00256_c,R01083_c,R02294_c,R00192_c,R00578_c,R00127_c,R00650_c,R01057_c	EXCbothC03150_e,Tc2eC00122_c,R01561_c,R01863_c,R02557_c,R02147_c,Tc2eC00387_c,R01132_c,EXCbothC00153_e,Tc2eC00294_c,Tc2eC00021_c,Tc2eC05698_c,EXCbothC00155_e,R01969_c,Tc2eC00147_c,R01049_c,EXCbothC00009_e,R00004_c,Tc2eC00155_c,Tc2eC00262_c,EXCbothC00019_e,EXCbothC00330_e,Tc2eC00330_c,EXCbothC00021_e,Tc2eC00009_c,MT_biomass_C00002_c,R00330_c,EXCbothC00387_e,R01135_c,R04936_c,R00190_c,Tc2eC00212_c,Tc2eC00019_c,EXCbothC00559_e,Tc2eC00025_c,EXCbothC05692_e,R00256_c,R01083_c,EXCbothC05698_e,Tc2eC03150_c,Tc2eC00152_c,R02294_c,EXCbothC00262_e,Tc2eC00013_c,EXCbothC00025_e,R00192_c,R00578_c,Tc2eC05692_c,EXCbothC00294_e,EXCbothC00013_e,R00127_c,R00650_c,EXCbothC00152_e,R01057_c,EXCbothC00122_e,Tc2eC00153_c,EXCbothC00147_e,EXCbothC00212_e,Tc2eC00559_c
15	C00002_c	alternative_1	ATP	30.0	0.0	20	59	0.0	0.0	R01561_c,R01863_c,R02557_c,R02147_c,R01969_c,R02294_c		R01561_c,R01863_c,R02557_c,R02147_c,R01132_c,R01969_c,R01049_c,R00004_c,R00330_c,R01135_c,R04936_c,R00190_c,R00256_c,R01083_c,R02294_c,R00192_c,R00578_c,R00127_c,R00650_c,R01057_c	EXCbothC03150_e,Tc2eC00122_c,R01561_c,R01863_c,R02557_c,R02147_c,Tc2eC00387_c,R01132_c,EXCbothC00153_e,Tc2eC00294_c,Tc2eC00021_c,Tc2eC05698_c,EXCbothC00155_e,R01969_c,Tc2eC00147_c,R01049_c,EXCbothC00009_e,R00004_c,Tc2eC00155_c,Tc2eC00262_c,EXCbothC00019_e,EXCbothC00330_e,Tc2eC00330_c,EXCbothC00021_e,Tc2eC00009_c,MT_biomass_C00002_c,R00330_c,EXCbothC00387_e,R01135_c,R04936_c,R00190_c,Tc2eC00212_c,Tc2eC00019_c,EXCbothC00559_e,Tc2eC00025_c,EXCbothC05692_e,R00256_c,R01083_c,EXCbothC05698_e,Tc2eC03150_c,Tc2eC00152_c,R02294_c,EXCbothC00262_e,Tc2eC00013_c,EXCbothC00025_e,R00192_c,R00578_c,Tc2eC05692_c,EXCbothC00294_e,EXCbothC00013_e,R00127_c,R00650_c,EXCbothC00152_e,R01057_c,EXCbothC00122_e,Tc2eC00153_c,EXCbothC00147_e,EXCbothC00212_e,Tc2eC00559_c
20	C00003_c	alternative_3	NAD+	29.166666666666668	0.0	24	65	0.0	0.0	R01561_c,R01863_c,R02295_c,R02557_c,R01876_c,R02294_c,R02484_c		R01561_c,R01863_c,R02295_c,R02557_c,R01132_c,R01049_c,R02484_c,R00004_c,R03005_c,R01876_c,R01724_c,R00330_c,R01135_c,R04936_c,R00190_c,R00257_c,R00256_c,R01083_c,R02294_c,R00192_c,R00578_c,R00127_c,R00650_c,R01057_c	EXCbothC03150_e,Tc2eC00122_c,R01561_c,R01863_c,R02295_c,R02557_c,R01132_c,EXCbothC00153_e,Tc2eC00299_c,Tc2eC00294_c,Tc2eC00021_c,Tc2eC05698_c,EXCbothC00155_e,Tc2eC00147_c,R01049_c,MT_biomass_C00003_c,R02484_c,EXCbothC00009_e,R03005_c,R00004_c,Tc2eC00155_c,Tc2eC00262_c,EXCbothC00019_e,R01876_c,Tc2eC00009_c,R01724_c,Tc2eC05841_c,EXCbothC00021_e,R00330_c,R01135_c,R04936_c,R00257_c,R00190_c,Tc2eC00212_c,Tc2eC00019_c,EXCbothC00559_e,Tc2eC00025_c,EXCbothC05692_e,R00256_c,R01083_c,EXCbothC05698_e,Tc2eC03150_c,Tc2eC00152_c,R02294_c,EXCbothC00262_e,Tc2eC00013_c,EXCbothC00025_e,Tc2eC00526_c,EXCbothC00299_e,R00192_c,EXCbothC00526_e,R00578_c,Tc2eC05692_c,EXCbothC00294_e,EXCbothC00013_e,R00127_c,R00650_c,EXCbothC00152_e,R01057_c,EXCbothC00122_e,Tc2eC00153_c,EXCbothC00147_e,EXCbothC00212_e,Tc2eC00559_c,EXCbothC05841_e
56	C00037_c	alternative_3	Glycine	20.0	0.0	5	22	0.0	0.0	R00945_c		R00940_c,R01248_c,R00899_c,R00945_c,R00937_c	R01220_c,Tc2eC03912_c,EXCbothC03912_e,EXCbothC05781_e,R00945_c,R00940_c,Tc2eC01419_c,EXCbothC00037_e,Tc2eC05781_c,MT_biomass_C00037_c,EXCbothC00445_e,R00937_c,R01248_c,Tc2eC00080_c,Tc2eC00037_c,EXCbothC01419_e,HBDG_c,R00899_c,EXCbothC00080_e,EXCbothC00504_e,Tc2eC00445_c,Tc2eC00504_c
47	C00019_c	alternative_3	S-Adenosyl-L-methionine	26.08695652173913	0.0	23	66	0.0	0.0	R01561_c,R01863_c,R02557_c,R01876_c,R02294_c,R02484_c		R01561_c,R01863_c,R02557_c,R01395_c,R01132_c,R01049_c,R02484_c,R10948_c,R01876_c,R00575_c,R00330_c,R01135_c,R00177_c,R04936_c,R00190_c,R00256_c,R01083_c,R04772_c,R02294_c,R10949_c,R00578_c,R00127_c,R01057_c	EXCbothC03150_e,Tc2eC00122_c,R01561_c,R01863_c,R02557_c,R01132_c,R01395_c,EXCbothC00153_e,Tc2eC00299_c,Tc2eC00294_c,Tc2eC00021_c,Tc2eC05698_c,Tc2eC00147_c,R01049_c,EXCbothC00009_e,R02484_c,Tc2eC00262_c,EXCbothC00019_e,R10948_c,R01876_c,Tc2eC00009_c,EXCbothC00021_e,R00575_c,R00330_c,R01135_c,R00177_c,R04936_c,R00190_c,EXCbothC05690_e,Tc2eC00212_c,Tc2eC00019_c,Tc2eC00073_c,Tc2eC00025_c,EXCbothC00559_e,EXCbothC05692_e,R00256_c,R01083_c,R04772_c,EXCbothC05698_e,Tc2eC03150_c,Tc2eC00152_c,R02294_c,EXCbothC00262_e,Tc2eC00013_c,EXCbothC00025_e,Tc2eC00526_c,EXCbothC00299_e,EXCbothC05335_e,EXCbothC00526_e,MT_biomass_C00019_c,R00578_c,Tc2eC05335_c,R10949_c,Tc2eC05692_c,EXCbothC00294_e,EXCbothC00013_e,R00127_c,EXCbothC00152_e,R01057_c,Tc2eC05690_c,Tc2eC00153_c,EXCbothC00122_e,EXCbothC00147_e,EXCbothC00212_e,Tc2eC00559_c,EXCbothC00073_e
219	C04549_c	alternative_1	1-Phosphatidyl-1D-myo-inositol 3-phosphate	28.947368421052634	0.0	38	72	0.0	0.0	R01516_c,R01518_c,R01641_c,R01061_c,R00200_c,R01662_c,R02294_c,R01829_c,R07324_c,R01067_c,R00658_c		R01187_c,R04230_c,R03362_c,R02241_r,R00765_c,R00842_c,R01819_c,R07324_c,R01061_c,R01802_c,R01015_c,R01516_c,R00299_c,R00200_c,R01529_c,R01662_c,R01843_c,R01799_c,R00847_c,R01518_c,R01641_c,R01056_c,R00256_c,R02294_c,R01829_c,R00658_c,R00851_r,R00867_c,R00578_c,R01326_c,R02740_c,R04231_c,R00127_c,R01036_c,R01057_c,R01961_c,R01067_c,R01496_r	EXCbothC00319_e,R01187_c,EXCbothC03150_e,EXCbothC00577_e,R04230_c,MT_biomass_C04549_c,R03362_c,EXCbothC00153_e,Tc2eC00095_c,R00765_c,R02241_r,R00842_c,R01819_c,R01061_c,R07324_c,EXCbothC00009_e,EXCbothC00329_e,R01802_c,R01015_c,Tc2eC00022_c,R01516_c,R00299_c,Tc2rC00319_c,EXCbothC00022_e,Tc2rC00093_c,Tc2eC00009_c,R00200_c,R01529_c,R01662_c,Tc2rC00416_c,EXCbothC00159_e,R01843_c,EXCbothC00031_e,R01799_c,Tc2eC00025_c,R01518_c,R01641_c,R00847_c,R01056_c,Tc2eC00031_c,R00256_c,Tc2eC00577_c,Tc2eC00152_c,R02294_c,R01829_c,Tc2eC03150_c,Tc2eC00013_c,Tc2eC00195_c,R00658_c,R00851_r,R00867_c,Tc2eC00329_c,Tc2eC00319_c,Tc2rC00195_c,EXCbothC00025_e,R00578_c,R01326_c,EXCbothC00095_e,R02740_c,R04231_c,Tc2eC00159_c,EXCbothC00013_e,R00127_c,R01036_c,EXCbothC00152_e,EXCbothC00195_e,R01057_c,Tc2eC00153_c,Tc2rC00080_c,R01961_c,R01067_c,R01496_r
220	C04549_c	alternative_2	1-Phosphatidyl-1D-myo-inositol 3-phosphate	28.947368421052634	0.0	38	72	0.0	0.0	R01516_c,R01518_c,R01641_c,R01061_c,R00200_c,R01662_c,R02294_c,R01829_c,R07324_c,R01067_c,R00658_c		R01187_c,R04230_c,R03362_c,R02241_r,R00765_c,R00842_c,R01819_c,R07324_c,R01061_c,R01802_c,R01015_c,R01516_c,R00299_c,R00200_c,R01529_c,R01662_c,R01843_c,R01799_c,R00847_c,R01518_c,R01641_c,R01056_c,R00256_c,R02294_c,R01829_c,R00658_c,R00851_r,R00867_c,R00578_c,R01326_c,R02740_c,R04231_c,R00127_c,R01036_c,R01057_c,R01961_c,R01067_c,R01496_r	EXCbothC00319_e,R01187_c,EXCbothC03150_e,EXCbothC00577_e,R04230_c,MT_biomass_C04549_c,R03362_c,EXCbothC00153_e,Tc2eC00095_c,R00765_c,R02241_r,R00842_c,R01819_c,R01061_c,R07324_c,EXCbothC00009_e,EXCbothC00329_e,R01802_c,R01015_c,Tc2eC00022_c,R01516_c,R00299_c,Tc2rC00319_c,EXCbothC00022_e,Tc2rC00093_c,Tc2eC00009_c,R00200_c,R01529_c,R01662_c,Tc2rC00416_c,EXCbothC00159_e,R01843_c,EXCbothC00031_e,R01799_c,Tc2eC00025_c,R01518_c,R01641_c,R00847_c,R01056_c,Tc2eC00031_c,R00256_c,Tc2eC00577_c,Tc2eC00152_c,R02294_c,R01829_c,Tc2eC03150_c,Tc2eC00013_c,Tc2eC00195_c,R00658_c,R00851_r,R00867_c,Tc2eC00329_c,Tc2eC00319_c,Tc2rC00195_c,EXCbothC00025_e,R00578_c,R01326_c,EXCbothC00095_e,R02740_c,R04231_c,Tc2eC00159_c,EXCbothC00013_e,R00127_c,R01036_c,EXCbothC00152_e,EXCbothC00195_e,R01057_c,Tc2eC00153_c,Tc2rC00080_c,R01961_c,R01067_c,R01496_r
46	C00019_c	alternative_2	S-Adenosyl-L-methionine	26.08695652173913	0.0	23	66	0.0	0.0	R01561_c,R01863_c,R02557_c,R01876_c,R02294_c,R02484_c		R01561_c,R01863_c,R02557_c,R01395_c,R01132_c,R01049_c,R02484_c,R10948_c,R01876_c,R00575_c,R00330_c,R01135_c,R00177_c,R04936_c,R00190_c,R00256_c,R01083_c,R04772_c,R02294_c,R10949_c,R00578_c,R00127_c,R01057_c	EXCbothC03150_e,Tc2eC00122_c,R01561_c,R01863_c,R02557_c,R01132_c,R01395_c,EXCbothC00153_e,Tc2eC00299_c,Tc2eC00294_c,Tc2eC00021_c,Tc2eC05698_c,Tc2eC00147_c,R01049_c,EXCbothC00009_e,R02484_c,Tc2eC00262_c,EXCbothC00019_e,R10948_c,R01876_c,Tc2eC00009_c,EXCbothC00021_e,R00575_c,R00330_c,R01135_c,R00177_c,R04936_c,R00190_c,EXCbothC05690_e,Tc2eC00212_c,Tc2eC00019_c,Tc2eC00073_c,Tc2eC00025_c,EXCbothC00559_e,EXCbothC05692_e,R00256_c,R01083_c,R04772_c,EXCbothC05698_e,Tc2eC03150_c,Tc2eC00152_c,R02294_c,EXCbothC00262_e,Tc2eC00013_c,EXCbothC00025_e,Tc2eC00526_c,EXCbothC00299_e,EXCbothC05335_e,EXCbothC00526_e,MT_biomass_C00019_c,R00578_c,Tc2eC05335_c,R10949_c,Tc2eC05692_c,EXCbothC00294_e,EXCbothC00013_e,R00127_c,EXCbothC00152_e,R01057_c,Tc2eC05690_c,Tc2eC00153_c,EXCbothC00122_e,EXCbothC00147_e,EXCbothC00212_e,Tc2eC00559_c,EXCbothC00073_e
221	C04549_c	alternative_3	1-Phosphatidyl-1D-myo-inositol 3-phosphate	28.947368421052634	0.0	38	72	0.0	0.0	R01516_c,R01518_c,R01641_c,R01061_c,R00200_c,R01662_c,R02294_c,R01829_c,R07324_c,R01067_c,R00658_c		R01187_c,R04230_c,R03362_c,R02241_r,R00765_c,R00842_c,R01819_c,R07324_c,R01061_c,R01802_c,R01015_c,R01516_c,R00299_c,R00200_c,R01529_c,R01662_c,R01843_c,R01799_c,R00847_c,R01518_c,R01641_c,R01056_c,R00256_c,R02294_c,R01829_c,R00658_c,R00851_r,R00867_c,R00578_c,R01326_c,R02740_c,R04231_c,R00127_c,R01036_c,R01057_c,R01961_c,R01067_c,R01496_r	EXCbothC00319_e,R01187_c,EXCbothC03150_e,EXCbothC00577_e,R04230_c,MT_biomass_C04549_c,R03362_c,EXCbothC00153_e,Tc2eC00095_c,R00765_c,R02241_r,R00842_c,R01819_c,R01061_c,R07324_c,EXCbothC00009_e,EXCbothC00329_e,R01802_c,R01015_c,Tc2eC00022_c,R01516_c,R00299_c,Tc2rC00319_c,EXCbothC00022_e,Tc2rC00093_c,Tc2eC00009_c,R00200_c,R01529_c,R01662_c,Tc2rC00416_c,EXCbothC00159_e,R01843_c,EXCbothC00031_e,R01799_c,Tc2eC00025_c,R01518_c,R01641_c,R00847_c,R01056_c,Tc2eC00031_c,R00256_c,Tc2eC00577_c,Tc2eC00152_c,R02294_c,R01829_c,Tc2eC03150_c,Tc2eC00013_c,Tc2eC00195_c,R00658_c,R00851_r,R00867_c,Tc2eC00329_c,Tc2eC00319_c,Tc2rC00195_c,EXCbothC00025_e,R00578_c,R01326_c,EXCbothC00095_e,R02740_c,R04231_c,Tc2eC00159_c,EXCbothC00013_e,R00127_c,R01036_c,EXCbothC00152_e,EXCbothC00195_e,R01057_c,Tc2eC00153_c,Tc2rC00080_c,R01961_c,R01067_c,R01496_r
